system:index,Consumers accuracy,Kappa,Overall accuracy,Producer accuracy,.geo
0,0.9861111111111112,0.9639235240792545,0.9661825726141079,0.9759450171821306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0,0.9639235240792545,0.9661825726141079,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.9936908517350158,0.9639235240792545,0.9661825726141079,0.9968354430379747,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.9965397923875432,0.9639235240792545,0.9661825726141079,0.9896907216494846,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.9653979238754326,0.9639235240792545,0.9661825726141079,0.9789473684210527,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9776357827476039,0.9639235240792545,0.9661825726141079,0.9714285714285714,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.9466666666666667,0.9639235240792545,0.9661825726141079,0.9131832797427653,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9018181818181819,0.9639235240792545,0.9661825726141079,0.9288389513108615,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.9829351535836177,0.9639235240792545,0.9661825726141079,0.976271186440678,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.967948717948718,0.9639235240792545,0.9661825726141079,0.9773462783171522,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.8885245901639345,0.9639235240792545,0.9661825726141079,0.8943894389438944,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.9966442953020134,0.9639235240792545,0.9661825726141079,0.9867109634551495,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.8769230769230769,0.9639235240792545,0.9661825726141079,0.8850931677018633,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.9813084112149533,0.9639235240792545,0.9661825726141079,0.9905660377358491,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0,0.9639235240792545,0.9661825726141079,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.0,0.9639235240792545,0.9661825726141079,0.9966442953020134,"{""type"":""MultiPoint"",""coordinates"":[]}"
