system:index,Consumers accuracy,Kappa,Overall accuracy,Producer accuracy,.geo
0,0.9896551724137931,0.95927535778018,0.9618257261410789,0.9862542955326461,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0,0.95927535778018,0.9618257261410789,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.990506329113924,0.95927535778018,0.9618257261410789,0.990506329113924,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.9658703071672355,0.95927535778018,0.9618257261410789,0.9725085910652921,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.950354609929078,0.95927535778018,0.9618257261410789,0.9403508771929825,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9607843137254902,0.95927535778018,0.9618257261410789,0.9333333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.9449838187702265,0.95927535778018,0.9618257261410789,0.9389067524115756,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9356060606060606,0.95927535778018,0.9618257261410789,0.9250936329588015,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.9607843137254902,0.95927535778018,0.9618257261410789,0.9966101694915255,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9559748427672956,0.95927535778018,0.9618257261410789,0.9838187702265372,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.8733766233766234,0.95927535778018,0.9618257261410789,0.8877887788778878,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.9966887417218543,0.95927535778018,0.9618257261410789,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.886435331230284,0.95927535778018,0.9618257261410789,0.8726708074534162,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.9905362776025236,0.95927535778018,0.9618257261410789,0.9874213836477987,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.9966777408637874,0.95927535778018,0.9618257261410789,0.9933774834437086,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.9932203389830508,0.95927535778018,0.9618257261410789,0.9832214765100671,"{""type"":""MultiPoint"",""coordinates"":[]}"
