system:index,EVI,EVI_filled,EVI_filled_filled,EVI_filled_fitted,EVI_filled_linearTrend,EVI_fitted,McfeeterNDWI,McfeeterNDWI_filled,McfeeterNDWI_filled_filled,McfeeterNDWI_filled_fitted,McfeeterNDWI_filled_linearTrend,McfeeterNDWI_fitted,NDVI,NDVI_filled,NDVI_filled_filled,NDVI_filled_fitted,NDVI_filled_linearTrend,NDVI_fitted,NDWI,NDWI_filled,NDWI_filled_filled,NDWI_filled_fitted,NDWI_filled_linearTrend,NDWI_fitted,constant,cos_1,date,green,green_filled,green_filled_filled,green_filled_fitted,green_filled_linearTrend,green_fitted,landcover,lat,long,sin_1,swir1,swir1_filled,swir1_filled_filled,swir1_filled_fitted,swir1_filled_linearTrend,swir1_fitted,t,temp,temp_filled,temp_filled_filled,temp_filled_fitted,temp_filled_linearTrend,temp_fitted,.geo
0_0,2.048999547958374,2.048999547958374,2.048999547958374,1.8126291036605835,1.3719470500946045,1.8126291036605835,-0.7164056301116943,-0.7164056301116943,-0.7164056301116943,-0.6867386102676392,-0.5652023553848267,-0.6867386102676392,0.7135802507400513,0.7135802507400513,0.7135802507400513,0.6810197234153748,0.5441645383834839,0.6810197234153748,0.2638607919216156,0.2638607919216156,0.2638607919216156,0.2034919708967209,0.11318963021039963,0.20349198579788208,1.0,0.9995357459140131,2010-01-02T11:18:47.010,516.0,516.0,516.0,571.28564453125,872.7626953125,571.2858276367188,Forest,13.28963613946778,-16.56308769256992,0.03046789523609109,1819.0,1819.0,1819.0,2066.171630859375,2518.208740234375,2066.171630859375,251.35787963867188,2977.0,2977.0,2977.0,5488.05712890625,8878.2001953125,5488.0556640625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.43527737259864807,0.43527737259864807,0.43527737259864807,0.4921824634075165,0.45703575015068054,0.4921824634075165,-0.28005510568618774,-0.28005510568618774,-0.28005510568618774,-0.3014712929725647,-0.27713149785995483,-0.3014712333679199,0.19716495275497437,0.19716495275497437,0.19716495275497437,0.21675242483615875,0.19813066720962524,0.21675240993499756,-0.061853066086769104,-0.061853066086769104,-0.061853066086769104,-0.042136300355196,-0.0393969863653183,-0.0421362966299057,1.0,0.9995357459140131,2010-01-02T11:18:47.010,1045.0,1045.0,1045.0,1097.2369384765625,1314.615966796875,1097.2369384765625,Built-up area,13.430200802923913,-16.684752693485446,0.03046789523609109,2103.0,2103.0,2103.0,2239.04736328125,2522.217041015625,2239.047119140625,251.35787963867188,3036.0,3036.0,3036.0,2286.46240234375,6500.578125,2286.46142578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,-0.49269717931747437,-0.49269717931747437,-0.49269717931747437,-0.7771106958389282,-0.03143404796719551,-0.7771106362342834,0.1609756052494049,0.1609756052494049,0.1609756052494049,0.22395937144756317,0.0015017520636320114,0.22395944595336914,-0.24634858965873718,-0.24634858965873718,-0.24634858965873718,-0.2734578549861908,-0.00524183688685298,-0.27345791459083557,0.5652173757553101,0.5652173757553101,0.5652173757553101,0.5115377306938171,0.39080187678337097,0.5115377306938171,1.0,0.9995357459140131,2010-01-02T11:18:47.010,1071.0,1071.0,1071.0,891.5623168945312,817.5391845703125,891.5624389648438,Water body,13.439409191670487,-15.36248737369788,0.03046789523609109,215.0,215.0,215.0,124.68943786621094,425.6536865234375,124.68939208984375,251.35787963867188,2939.0,2939.0,2939.0,1718.2750244140625,6718.07177734375,1718.2725830078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,1.2624318599700928,1.2624318599700928,1.2624318599700928,1.1411607265472412,0.9410713315010071,1.1411608457565308,-0.3579196333885193,-0.3579196333885193,-0.3579196333885193,-0.3765980899333954,-0.3335919678211212,-0.3765980303287506,0.37745803594589233,0.37745803594589233,0.37745803594589233,0.3854999244213104,0.33524081110954285,0.38549989461898804,0.2855863869190216,0.2855863869190216,0.2855863869190216,0.28720420598983765,0.23016835749149323,0.2872042655944824,1.0,0.9995357459140131,2010-01-02T11:18:47.010,679.0,679.0,679.0,646.8883056640625,869.34765625,646.8883666992188,Mangrove,13.303734947460672,-16.10459217181693,0.03046789523609109,798.0,798.0,798.0,783.8470458984375,1115.2674560546875,783.8468627929688,251.35787963867188,2960.0,2960.0,2960.0,2918.6259765625,5931.2431640625,2918.621337890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.29522550106048584,0.29522550106048584,0.29522550106048584,0.3205375373363495,0.42017847299575806,0.3205375671386719,-0.3431573808193207,-0.3431573808193207,-0.3431573808193207,-0.3554290533065796,-0.3391597270965576,-0.3554290533065796,0.1855010688304901,0.1855010688304901,0.1855010688304901,0.20329159498214722,0.23189771175384521,0.2032916247844696,-0.2408001571893692,-0.2408001571893692,-0.2408001571893692,-0.2006247490644455,-0.1155453473329544,-0.20062468945980072,1.0,0.9995357459140131,2010-01-02T11:18:47.010,1359.5,1359.5,1359.5,1428.4063720703125,1519.293701171875,1428.4063720703125,Cropland,13.43041994708249,-14.53384636909885,0.03046789523609109,4543.5,4543.5,4543.5,4474.48388671875,3968.815673828125,4474.48291015625,251.35787963867188,3056.0,3056.0,3056.0,5102.2265625,6603.57666015625,5102.22509765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.6692593693733215,0.6692593693733215,0.6692593693733215,0.8282983303070068,0.8370102643966675,0.8282981514930725,-0.3485358953475952,-0.3485358953475952,-0.3485358953475952,-0.39618781208992004,-0.4344070255756378,-0.3961877226829529,0.28462108969688416,0.28462108969688416,0.28462108969688416,0.31219884753227234,0.37184855341911316,0.3121987581253052,-0.1272849291563034,-0.1272849291563034,-0.1272849291563034,-0.08825568109750748,-0.020895687863230705,-0.08825571835041046,1.0,0.9995357459140131,2010-01-02T11:18:47.010,1257.0,1257.0,1257.0,1043.335205078125,1151.7342529296875,1043.33544921875,Shrubland,13.516739915185315,-14.058878328870126,0.03046789523609109,3361.0,3361.0,3361.0,2850.072509765625,3071.831298828125,2850.07275390625,251.35787963867188,2915.0,2915.0,2915.0,2581.989501953125,8018.96044921875,2581.990478515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1.768680453300476,1.768680453300476,1.768680453300476,1.3481680154800415,1.3846927881240845,1.348168134689331,-0.6485234498977661,-0.6485234498977661,-0.6485234498977661,-0.5901308655738831,-0.5677364468574524,-0.5901308059692383,0.6413952112197876,0.6413952112197876,0.6413952112197876,0.545487642288208,0.5473654270172119,0.545487642288208,0.1887265145778656,0.1887265145778656,0.1887265145778656,0.08975052833557129,0.11594203859567642,0.08975053578615189,1.0,0.8543196371688622,2010-02-01T11:18:47.010,607.0,607.0,607.0,745.7911987304688,867.9799194335938,745.7913208007812,Forest,13.28963613946778,-16.56308769256992,0.5197479750298829,1943.0,1943.0,1943.0,2440.541015625,2510.41455078125,2440.541015625,251.87396240234375,3015.0,3015.0,3015.0,6626.47265625,8868.0390625,6626.47119140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.439251184463501,0.439251184463501,0.439251184463501,0.3999684154987335,0.45887666940689087,0.3999684154987335,-0.28289368748664856,-0.28289368748664856,-0.28289368748664856,-0.2796298861503601,-0.27822357416152954,-0.2796298563480377,0.2147771418094635,0.2147771418094635,0.2147771418094635,0.18547676503658295,0.1990583837032318,0.18547676503658295,-0.07631070166826248,-0.07631070166826248,-0.07631070166826248,-0.06585235893726349,-0.038853466510772705,-0.06585235893726349,1.0,0.8543196371688622,2010-02-01T11:18:47.010,1135.0,1135.0,1135.0,1164.7369384765625,1312.2667236328125,1164.7369384765625,Built-up area,13.430200802923913,-16.684752693485446,0.5197479750298829,2366.0,2366.0,2366.0,2359.641357421875,2520.690673828125,2359.64111328125,251.87396240234375,3074.0,3074.0,3074.0,3322.30078125,6528.3330078125,3322.30029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,-0.7261956930160522,-0.7261956930160522,-0.7261956930160522,-0.7552541494369507,-0.027790389955043793,-0.7552540898323059,0.23049893975257874,0.23049893975257874,0.23049893975257874,0.19088530540466309,-0.0012353159254416823,0.19088535010814667,-0.23211781680583954,-0.23211781680583954,-0.23211781680583954,-0.22103306651115417,-0.0026471600867807865,-0.22103309631347656,0.4193130135536194,0.4193130135536194,0.4193130135536194,0.4485117793083191,0.39084360003471375,0.4485117793083191,1.0,0.8543196371688622,2010-02-01T11:18:47.010,875.5,875.5,875.5,835.3153686523438,821.7937622070312,835.3154296875,Water body,13.439409191670487,-15.36248737369788,0.5197479750298829,224.0,224.0,224.0,184.9268341064453,430.0440673828125,184.92681884765625,251.87396240234375,2958.0,2958.0,2958.0,2471.814208984375,6772.95263671875,2471.8125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,1.0304521322250366,1.0304521322250366,1.0304521322250366,0.9074555039405823,0.954058051109314,0.9074557423591614,-0.3162650465965271,-0.3162650465965271,-0.3162650465965271,-0.3244844079017639,-0.3362979590892792,-0.32448437809944153,0.3432376980781555,0.3432376980781555,0.3432376980781555,0.31870517134666443,0.33811435103416443,0.31870514154434204,0.25514599680900574,0.25514599680900574,0.25514599680900574,0.22870716452598572,0.2315155267715454,0.2287072241306305,1.0,0.8543196371688622,2010-02-01T11:18:47.010,681.0,681.0,681.0,720.4557495117188,867.8125610351562,720.4558715820312,Mangrove,13.303734947460672,-16.10459217181693,0.5197479750298829,778.0,778.0,778.0,889.556884765625,1116.82763671875,889.5567626953125,251.87396240234375,2977.0,2977.0,2977.0,2679.927490234375,6039.6923828125,2679.924072265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
