system:index,EVI,EVI_filled,EVI_filled_filled,EVI_filled_fitted,EVI_filled_linearTrend,EVI_fitted,McfeeterNDWI,McfeeterNDWI_filled,McfeeterNDWI_filled_filled,McfeeterNDWI_filled_fitted,McfeeterNDWI_filled_linearTrend,McfeeterNDWI_fitted,NDVI,NDVI_filled,NDVI_filled_filled,NDVI_filled_fitted,NDVI_filled_linearTrend,NDVI_fitted,NDWI,NDWI_filled,NDWI_filled_filled,NDWI_filled_fitted,NDWI_filled_linearTrend,NDWI_fitted,constant,cos_1,date,green,green_filled,green_filled_filled,green_filled_fitted,green_filled_linearTrend,green_fitted,landcover,lat,long,sin_1,swir1,swir1_filled,swir1_filled_filled,swir1_filled_fitted,swir1_filled_linearTrend,swir1_fitted,t,temp,temp_filled,temp_filled_filled,temp_filled_fitted,temp_filled_linearTrend,temp_fitted,.geo
0_0,1.5801186561584473,1.5801186561584473,1.5801186561584473,1.7650185823440552,1.2051821947097778,1.7650184631347656,-0.6798842549324036,-0.6798842549324036,-0.6798842549324036,-0.7177315950393677,-0.5849499106407166,-0.7177315354347229,0.676971971988678,0.676971971988678,0.676971971988678,0.6843941807746887,0.5211467742919922,0.6843941807746887,0.1856996864080429,0.1856996864080429,0.1856996864080429,0.1704607754945755,0.08067978173494339,0.1704607754945755,1.0,0.9998969291587916,2018-01-01T11:23:27.050,553.0,553.0,553.0,113.9285659790039,687.3507080078125,113.92912292480469,Forest,13.28963613946778,-16.56308769256992,0.014357265018749845,1993.0,1993.0,1993.0,1931.127685546875,2573.416259765625,1931.1278076171875,301.60723876953125,2989.0,2989.0,2989.0,1773.666748046875,2295.4619140625,1773.6685791015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.37475016713142395,0.37475016713142395,0.37475016713142395,0.5742740631103516,0.4363468885421753,0.5742738246917725,-0.29223179817199707,-0.29223179817199707,-0.29223179817199707,-0.3513898253440857,-0.3093501925468445,-0.3513897657394409,0.19192492961883545,0.19192492961883545,0.19192492961883545,0.22967323660850525,0.20360948145389557,0.22967320680618286,-0.045319974422454834,-0.045319974422454834,-0.045319974422454834,-0.07331880927085876,-0.050333645194768906,-0.07331883162260056,1.0,0.9998969291587916,2018-01-01T11:23:27.050,1148.0,1148.0,1148.0,792.0316162109375,1176.5284423828125,792.0321044921875,Built-up area,13.430200802923913,-16.684752693485446,0.014357265018749845,2295.0,2295.0,2295.0,2337.032958984375,2553.855224609375,2337.033203125,301.60723876953125,3046.0,3046.0,3046.0,2732.083251953125,3876.220947265625,2732.08447265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,-0.3577257990837097,-0.3577257990837097,-0.3577257990837097,-0.47668546438217163,-0.0465376190841198,-0.4766857326030731,0.10387688875198364,0.10387688875198364,0.10387688875198364,0.1410864144563675,0.016847863793373108,0.14108651876449585,-0.1480022519826889,-0.1480022519826889,-0.1480022519826889,-0.16917739808559418,-0.007038968149572611,-0.16917753219604492,0.4439675807952881,0.4439675807952881,0.4439675807952881,0.49542903900146484,0.31256476044654846,0.49542900919914246,1.0,0.9998969291587916,2018-01-01T11:23:27.050,932.5,932.5,932.5,862.8967895507812,802.1392822265625,862.8967895507812,Water body,13.439409191670487,-15.36248737369788,0.014357265018749845,291.5,291.5,291.5,229.88951110839844,454.393310546875,229.88946533203125,301.60723876953125,2941.0,2941.0,2941.0,4251.08984375,4304.107421875,4251.08740234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.9230359792709351,0.9230359792709351,0.9230359792709351,1.7604345083236694,1.025424599647522,1.760433554649353,-0.48467347025871277,-0.48467347025871277,-0.48467347025871277,-0.5515550971031189,-0.4718189239501953,-0.5515550971031189,0.4524120092391968,0.4524120092391968,0.4524120092391968,0.5582830309867859,0.4586297869682312,0.5582830309867859,0.3178233504295349,0.3178233504295349,0.3178233504295349,0.36112478375434875,0.29254990816116333,0.36112481355667114,1.0,0.9998969291587916,2018-01-01T11:23:27.050,580.0,580.0,580.0,275.5762634277344,581.51708984375,275.57659912109375,Mangrove,13.303734947460672,-16.10459217181693,0.014357265018749845,865.0,865.0,865.0,640.5867919921875,938.5032348632812,640.5869750976562,301.60723876953125,2969.0,2969.0,2969.0,3254.638671875,2795.38671875,3254.6396484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.35223686695098877,0.35223686695098877,0.35223686695098877,0.43702247738838196,0.5013614892959595,0.43702244758605957,-0.39335334300994873,-0.39335334300994873,-0.39335334300994873,-0.4352993071079254,-0.4156472980976105,-0.4352993071079254,0.2219514548778534,0.2219514548778534,0.2219514548778534,0.27179956436157227,0.2853701114654541,0.27179956436157227,-0.17850589752197266,-0.17850589752197266,-0.17850589752197266,-0.1628304272890091,-0.10486502945423126,-0.1628304421901703,1.0,0.9998969291587916,2018-01-01T11:23:27.050,1364.5,1364.5,1364.5,1217.04443359375,1362.010986328125,1217.0443115234375,Cropland,13.43041994708249,-14.53384636909885,0.014357265018749845,4496.0,4496.0,4496.0,4280.83984375,4146.25146484375,4280.83935546875,301.60723876953125,3076.5,3076.5,3076.5,3803.41015625,3923.879638671875,3803.409912109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.49417951703071594,0.49417951703071594,0.49417951703071594,1.7994825839996338,1.6760202646255493,1.799486756324768,-0.4063926935195923,-0.4063926935195923,-0.4063926935195923,-0.46054261922836304,-0.4576183259487152,-0.46054261922836304,0.2760828733444214,0.2760828733444214,0.2760828733444214,0.34609997272491455,0.35175126791000366,0.34610000252723694,-0.10575400292873383,-0.10575400292873383,-0.10575400292873383,-0.050418671220541,-0.02026115544140339,-0.05041862651705742,1.0,0.9998969291587916,2018-01-01T11:23:27.050,1072.5,1072.5,1072.5,1001.4959716796875,1166.4224853515625,1001.4959716796875,Shrubland,13.516739915185315,-14.058878328870126,0.014357265018749845,3142.0,3142.0,3142.0,2958.814697265625,3266.276123046875,2958.814453125,301.60723876953125,3028.0,3028.0,3028.0,2997.701904296875,3726.814453125,2997.700927734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.9434489011764526,0.9434489011764526,0.9434489011764526,1.216416597366333,1.2162829637527466,1.2164164781570435,-0.5790125131607056,-0.5790125131607056,-0.5790125131607056,-0.6118423342704773,-0.58526211977005,-0.6118422746658325,0.49545589089393616,0.49545589089393616,0.49545589089393616,0.5314576029777527,0.5234807133674622,0.5314575433731079,0.011200317181646824,0.011200317181646824,0.011200317181646824,0.04003715142607689,0.08422394841909409,0.040037136524915695,1.0,0.862584010664303,2018-01-31T11:23:27.050,680.0,680.0,680.0,384.38226318359375,700.1494140625,384.3830261230469,Forest,13.28963613946778,-16.56308769256992,0.5059138509136566,2494.0,2494.0,2494.0,2393.2177734375,2566.512939453125,2393.218017578125,302.1233215332031,2981.5,2981.5,2981.5,1851.3563232421875,2394.48779296875,1851.359375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.3280492126941681,0.3280492126941681,0.3280492126941681,0.45039722323417664,0.4319990575313568,0.4503968358039856,-0.33150774240493774,-0.33150774240493774,-0.33150774240493774,-0.3271613121032715,-0.3079930245876312,-0.3271612524986267,0.1886683851480484,0.1886683851480484,0.1886683851480484,0.2016979604959488,0.2028287649154663,0.20169790089130402,-0.06408514827489853,-0.06408514827489853,-0.06408514827489853,-0.0886608362197876,-0.04975368082523346,-0.08866085112094879,1.0,0.862584010664303,2018-01-31T11:23:27.050,1037.5,1037.5,1037.5,942.295166015625,1185.9654541015625,942.2957763671875,Built-up area,13.430200802923913,-16.684752693485446,0.5059138509136566,2349.5,2349.5,2349.5,2497.647216796875,2551.916748046875,2497.6474609375,302.1233215332031,3014.0,3014.0,3014.0,2636.1494140625,3908.511474609375,2636.150634765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,-0.4859199523925781,-0.4859199523925781,-0.4859199523925781,-0.5165045857429504,-0.056123994290828705,-0.5165050625801086,0.1676419973373413,0.1676419973373413,0.1676419973373413,0.13157281279563904,0.02005462720990181,0.13157296180725098,-0.15954118967056274,-0.15954118967056274,-0.15954118967056274,-0.13572919368743896,-0.011496931314468384,-0.1357293725013733,0.31627655029296875,0.31627655029296875,0.31627655029296875,0.4017544090747833,0.31457775831222534,0.4017544090747833,1.0,0.862584010664303,2018-01-31T11:23:27.050,848.0,848.0,848.0,786.6469116210938,805.9430541992188,786.64697265625,Water body,13.439409191670487,-15.36248737369788,0.5059138509136566,314.0,314.0,314.0,266.6337890625,451.8857421875,266.6336975097656,302.1233215332031,2929.0,2929.0,2929.0,3586.677978515625,4301.37060546875,3586.67578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.8494453430175781,0.8494453430175781,0.8494453430175781,1.3649413585662842,1.015924334526062,1.3649402856826782,-0.46798452734947205,-0.46798452734947205,-0.46798452734947205,-0.4949965476989746,-0.47267818450927734,-0.4949965476989746,0.457337886095047,0.457337886095047,0.457337886095047,0.480124294757843,0.460897296667099,0.4801243245601654,0.25889071822166443,0.25889071822166443,0.25889071822166443,0.2927893400192261,0.2943350374698639,0.2927893400192261,1.0,0.862584010664303,2018-01-31T11:23:27.050,619.0,619.0,619.0,406.6063232421875,588.5870971679688,406.60675048828125,Mangrove,13.303734947460672,-16.10459217181693,0.5059138509136566,1005.5,1005.5,1005.5,798.8109130859375,941.9193725585938,798.8111572265625,302.1233215332031,2958.0,2958.0,2958.0,2731.556396484375,2860.258056640625,2731.557861328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.3376086950302124,0.3376086950302124,0.3376086950302124,0.24073569476604462,0.5077723860740662,0.24073566496372223,-0.3893885016441345,-0.3893885016441345,-0.3893885016441345,-0.3773958086967468,-0.4172966778278351,-0.3773958086967468,0.21533922851085663,0.21533922851085663,0.21533922851085663,0.1827227920293808,0.2879469394683838,0.1827227771282196,-0.19510288536548615,-0.19510288536548615,-0.19510288536548615,-0.21986672282218933,-0.10304968059062958,-0.21986675262451172,1.0,0.862584010664303,2018-01-31T11:23:27.050,1358.0,1358.0,1358.0,1416.317626953125,1356.276123046875,1416.317626953125,Cropland,13.43041994708249,-14.53384636909885,0.5059138509136566,4588.0,4588.0,4588.0,4743.306640625,4130.6279296875,4743.306640625,302.1233215332031,3092.0,3092.0,3092.0,3488.2412109375,3893.8603515625,3488.240234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.4760802388191223,0.4760802388191223,0.4760802388191223,-0.3110819160938263,1.754757046699524,-0.31107842922210693,-0.4259534478187561,-0.4259534478187561,-0.4259534478187561,-0.40586960315704346,-0.46038663387298584,-0.40586960315704346,0.27276745438575745,0.27276745438575745,0.27276745438575745,0.251312255859375,0.35690584778785706,0.2513123154640198,-0.09763360023498535,-0.09763360023498535,-0.09763360023498535,-0.1182737722992897,-0.016244038939476013,-0.11827371269464493,1.0,0.862584010664303,2018-01-31T11:23:27.050,1159.0,1159.0,1159.0,1176.646240234375,1160.744873046875,1176.646240234375,Shrubland,13.516739915185315,-14.058878328870126,0.5059138509136566,3502.0,3502.0,3502.0,3437.287109375,3248.27197265625,3437.286865234375,302.1233215332031,3029.0,3029.0,3029.0,2645.426513671875,3751.107421875,2645.42578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
