system:index,gain_code,gain_sum,loss_code,loss_sum,.geo
0,0,68.93262564086913,0,95.468240637207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1,0.0,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2,386.5872038068465,2,1624.6594035544,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3,0.2611938781738281,3,7.316510455322265,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4,0.0,4,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5,0.8702442138671875,5,2.787061633300781,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6,0.5220599426269532,6,3.6526315307617185,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7,0.347934033203125,7,13.82653349609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,8,0.522055255126953,8,0.17407105712890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9,2773.749835411426,9,2104.387193751172,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,10,0.2608299133300781,10,1.0436255187988281,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,11,8.009017182784733,11,2.5230804687499995,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,12,0.39645582495595894,12,0.08701300048828126,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,13,41.068386630835455,13,97.79200728759767,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,14,0.0,14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,15,2608.2218876647985,15,1652.0812570312492,"{""type"":""MultiPoint"",""coordinates"":[]}"
