system:index,gain_code,gain_sum,loss_code,loss_sum,.geo
0,0,338.65225366210933,0,224.15581550292973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1,0.0,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2,406.4226086975099,2,100.12636513671876,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3,0.4353229919433594,3,0.4355346984863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4,0.0,4,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5,0.2611451965332031,5,1.3063200134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6,2.0871613647460934,6,0.08698834838867188,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7,1.0436129699707033,7,0.260988330078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,8,0.0,8,1.5671030273437498,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9,3791.3983337298737,9,1033.8174650845397,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,10,0.0,10,0.26114667358398436,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,11,0.1739719970703125,11,1.4792043762207032,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,12,0.34817980957031247,12,0.5223107482910156,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,13,45.32487499389648,13,9.658063403320314,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,14,0.0,14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,15,2531.8687150994747,15,2024.0794910583495,"{""type"":""MultiPoint"",""coordinates"":[]}"
